Sno,freq_neg,freq_pos,overall
0,340.38966721853456,237.98670964588234,0
1,121.18043784555887,61.28073926075257,0
2,176.3266414417129,202.37321670004675,1
3,107.21003447375232,57.813401115613935,0
4,202.35188576340556,181.85592289033283,1
5,229.71195550032792,231.5004487853152,1
6,103.86495547505403,63.20232077533373,0
7,134.6060195080975,189.0927443086275,1
8,221.95967040465186,275.0624377450691,1
9,33.67290060261269,73.64859917370993,1
10,120.56899754270147,56.76436810302975,0
11,181.72238251343776,78.79387572731488,0
12,77.48981717921818,158.35261617400985,1
13,206.08344158801668,172.040169398348,1
14,144.4347759456436,55.60989611001637,0
15,133.54612290301253,150.8616294965071,1
16,39.69921755788149,36.28761876267262,0
17,151.9799217491054,153.8417045377474,1
18,185.8146826553632,60.12646555972115,0
19,208.68598378204214,243.06571597909428,1
20,191.69376211698005,122.07674295529003,0
21,68.64445644007027,124.0182326335386,1
22,275.9706876617749,220.83759178971968,1
23,190.79965191767138,82.96255101504279,0
24,58.846977626443746,69.58344128504544,1
25,120.78452405705671,72.36002134995356,0
26,209.7596807963101,86.38743527251705,0
27,205.09600550891642,127.74989155504319,0
28,96.15054559916194,13.88290399730704,0
29,26.45111412045372,36.661519529589285,1
30,163.4486111559807,154.81270787258453,1
31,64.30718688231984,82.44425073555932,1
32,60.4544776942387,10.917856178809709,0
33,144.68153823113553,70.32953210967658,0
34,64.77881387101695,41.494608259030976,1
35,207.5397930211211,110.19104349357457,0
36,136.21695203049305,87.27896686679942,0
37,68.874559364749,41.608694685904204,0
38,72.75230538049125,43.50646213375794,0
39,197.46137997495183,225.42874557702504,1
40,172.5782144169564,147.6385371837462,0
41,37.98230010193493,43.303393388224364,1
42,122.22896369477027,74.61984849927947,0
43,39.90096779138289,64.72643914744393,1
44,129.71686953001958,132.95205095593764,1
45,131.03979247662608,117.05369187057674,1
46,189.56495307518557,175.0741266445011,1
47,42.07330079159784,32.75613826124838,1
48,53.18599826647871,72.20992298522968,1
49,17.417281632031003,31.89613414265414,1
50,268.47095166561894,164.14944825600085,0
51,277.9134056735572,163.18801491442935,0
52,232.8364484856925,125.5240183553488,0
53,121.06590131601993,108.92853775975956,1
